owner,count
4pk1cMgbZsUY2txgDyXD8Pypm6kJGW1pZwqJeM2yD6cN,809
DmHhENyvzcjwtwQoR9uZc8QCSwXgk9tUqixDFD3pvGPB,702
6xfPmYPxicgQhYA9bgHDDUaZdm6x9nTeFfhEw7GoYLzM,376
6BRiC9QAibJsqq6cXDzUJXq8RWWSTUC65VXE61TJLEin,295
HW4UoqrxiAMkVQP5aMwB4qhFFH61kAyEz6TERNrhVttY,193
7dGcEvGtT8srXhdGqsHkqcvQ7YZKNg5YE9QFwiidxrRm,179
587SfNEtDH981m3ek1mGEZbHJmsujYYgUNS9f6iRwMQ7,178
C8EuUJigyRy2ojSuZtDSnc4JxmVqoe5XTr4xaPPmKsyV,162
3H7dUkVozw5GtcHvD7sGi6SKDGjdggoFPPMmNMvtmSp6,139
2duUqSTGc2wiu6ms4mGFbbMhPEBwJ6zB2K344WFqhhD4,133
39pgAVFNHBPpvMux8gLcrBpFx6zE6BjaYE1hfuQm3md4,129
7kjCwkuJHvh4nSEC9PsECgb84xZENjw2vCpPzAAR14Wn,121
DeRunEHNfnXnKXUCpipEMST366DwoDQ1PmtGKcEJb9FR,117
EFpipurDmX4Lgv7V5TobgR6TMnBSZv734pgcZjWNkmfr,116
8qqCR4tWQau9Kj4GjfZXmHsXepzY6LRh1jgTNoFtWnne,115
CZTJbxVaoDpc7q4FPWrrcUTezQVqXaCX2T6WibJh9QY2,112
CiTURarmCY356uDBVpngLWqTyC8f7cPsToeAosoL7b3x,111
Cfec4QM2RfK6oXiM8UKJAWoEawz7m85mYnE5BQhY5SRF,110
EBmyKQM33ChqFzbi4rbsz6C9vhuoB816Vbfw3nmsG9w6,105
4outhatULKuVTnFLaLGpJ9Xcv4BD1uctPXDJfDaRWHVb,102
CuZU41NwGD2wF341hLP5e7wrns14brnHjVZ99bNjQe6k,101
EjbvQKDV2MhRgmaumKHG9zdSqstyMzsvh8dXtVNaipky,100
9TLPEZFPU1Tr6fRe7PWEC4SHVR2Zi9peeR27B7Qs1cvb,93
HTdfbQjePkZYBNBb1zZzQC8En4x95TKWQGpvtNmz662z,91
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,91
HBMv2JsfCjorc85Awk8vmpQu26AZK84yzmifisdtet5W,89
4MaNeuCwvFwjnWEycghXNSVtn8bMuB1r1sWvWPQqWdPc,84
9VvPQMGVuggHwDZNfEVJH63incwSSA477AMKo5XaiCDh,82
DfgKdiMKvqWC2RHFuWZr6Mfkqor7KgouK5Pohy6AsYPe,76
3PM812cWGrKwc4e1SiPGHkBvbQTQgZ5k9yMcSCQvGTuR,75
BYxtkQwZK9zFZCQQvAYszZMm556nDEPZ2ynDCd7Y7gjD,73
7QLYAtegMxucqh2zZzwRVgK48zz4ft51djKYZzEVnn77,73
5x8JTwuN4UcUGEHBAjR368WM1yKymiMs6ggZPBpKyW5N,72
ADheMgNzeDMp6ZqBsKNXr98NMb5C9Gdsrk7yXJXbs51Y,68
JCioQRLUwqwve6Vcs5vXgvQF9KegVqi9sQrxisxA8BHJ,67
BCY98YsH4A73CRAumagncMadbXeFQRuxQ2FNajFcZkFB,67
BDyNGumJKQxb4JJ2kkYkmmJg7g4E8vyitoAN2gtJg5Np,66
4DxNof5gzWs1KKDjLhZqHYk7XCHRMc9gHLGDbVyqqCLR,65
2vYV9JyhFkMjMNtMwimVCPA8iw6RsN6txP7kbvAKvv1S,60
51xWDGGKj8YTaTpxFwmU7RnEQPTQ1iEcYLDpAB91tAYL,60
6c7xLnmRZUHLfbihpQEncsSkq8SNvTsrfaS8fJJzDpgt,59
65QQQBTZB9NMiH8fiqgSyQsrPCwLhxgoc2McNEi15U5W,57
GoTUbzwbBHbYUnVjnouuzDZqcnadCxkpAMj1qyEnbeu1,57
73LrfQZCV3nhVYW8nZQ1mecXLjwsgy8VRHbgucCQVKBg,57
8NjD9rEn9QCvM2s3thuUEVFfaQ6MLyzxerTdTUNJeLvm,56
2wSnmrQ2VKi3WNZJEjK1uba3YCEkK9dzpzM2GYHdh4Nj,55
2AFiMZpEevVgwoczyxyMqN8nYW7bzNTzZBYUE6JYm9TN,50
4W1SmBtgUdget6hgHKKfTJQwKp9Di1fJZfS8ZU2uinat,50
GbmujNMxspVvkyJo1CQAvn23KHxuppidKN8F8vQwbwfx,49
FT3aimpfGmXubmSw6DspyMPoDBvJoVhCFhcFXPzMvFDp,48
8C1iDS8cN2eihPTVTfPtudEsa7gkFUFFXjoL3csuYMA,47
EC5SXVTytMwtzn1tRzuArjTZTjbvDxVXRSc84ww7B6QM,47
5V3LirCw5PAjr32tbXMYcymEydJbzoEvoBkNpZRo8wKj,47
4e7AjUc3tZCngUgWb83Y9BWuZwc6BXBzutwTGkhgYrJh,46
EeAwtg2dm4F1GZaphLxaSgayAeUEPgeXf3cpAqVJjFYG,43
4Y3joxXs1vrFc4smesZeJdtWLDTrXQoycDhQamkcEVSu,42
AP42ijmgjmN1UxxtVVpK7oEFW46sW2oH7ZBvf6dKF4JB,42
BJw2EJuiZY4QTWpMjuS9ySPGzRHbwrrje56yxAm2UcT7,41
GUfHRH8AHiSUHVjNnVFqqsZ6Czmdm2hcebLHZqJJUoSA,41
S2PyyGAmBtma5ZcApzePh6fWkb2sV6reUoxksR9LEBW,41
C8JKVbZx98EFuRnTb1XjXvdxS4kPYYSPUHkV13To3JBL,40
13zv25eWsSzH2sxJTVboGqv9zHzm3sDTftm519pdwWoe,40
z9puy6ZXg8Wezp862sdFiZKeBh76eyxCU2Da19QndqA,40
41DfWHaNeWgakTZPbr5SKcpNuA4ykrkcfc4PE1NCVLn4,40
F2xCJK7eLUJ173xRcBpwhNHCwGdkc8mv5CpyZ993FDJR,39
FigWXu7uT7AXGSgncfRATZV21aixQzCbHNx42gSbNW1o,39
3o6coaQjHYV76GMK9isEsRwBNjPk9iajACnTAjtrJwjN,39
5FNhXapEi6WVZ6dGMTkxn3AqcyKdYK3d89gdtHGMRuRJ,38
GZ7dL3aqcVwynsidEqLTUnsHf3iK5wvNFsCEJZvoVXFe,37
Bkwrr3CrobHVw1CCU3zSaCRtaCLLfmkcmqHZ5b7NkSPe,37
8KRu4gLxUShFUxXq5df2QCsQW6D3D2t4vgu5MLUWCfZN,36
4Dt9sfqfUckUbR5vgYiPzDoGUxbGqYp4T5iKZySnesSC,35
6vWyDxhTUPudN2tnoowagwMQSyxQyq5HQDWDTFwhu4GG,35
43HNT9gzMW96jqy2nodkaoEvge15pzW637SbxX7xgXxU,33
HNG3y5vPAUeQkSmfREZdyQYtRnaXBZ1CEVEHkaXP4byt,33
FmqWzdpi5QHoL7HFURXSzt3pCcu7Xabs34rq5YX5LjBx,33
9RRMzitXRMvaddVBWtpHQ1ZiRmbk6gfmXhdt7kyZqUgj,32
AdQB5nkarzvbuTbvUtJDU7umSUQ1jDRTokD2V4RyRYVu,32
9ezwhqQ99YzpCRQHahkYPeEtCYPWRqvE2skp5buTxJ3L,32
2jrm7EeR7qnUpzNyY3gDN5xiNBS1RQ4HP5KB539FhqLk,32
75NiHa6BQVpDFZNpbEydHcPJy7ZbXEXeuFX1AKWhnqi4,31
Gu8hLvXpVJvoXTssipGDX4DjyTG3gJ2E5ByWWuECxE6W,31
7Hh38oq5zeHiKRFHfqCLnuYTTqZ5xC8funQCbh4GUvS2,31
Ajoc3SYKJtoxprayTkXCz8EhBPzZMBAYbnrwAJ5bvD35,30
29amDSxEELBpUtTj1fD8ZvFbJEM1Cd1LNviepPcWpxXF,30
132jtQDTmahfZ3XKxw9oBdEMkpGcgJguQjF6kkbfd346,29
7oYXhPJH7z4etd48btZFj4eivJjP4tUbMeiTQepHHk65,29
HJEzUZuxy4fsobqqpPqJunyRyGpQw7zPtuML9fubdze7,29
5V6ascKdUTuRqdRe6MAEdGCuMo8xuAM8qGvUWoz1JevM,29
6c6gY7dQhAFKGMf3M55y4euix4447N8Q6Y4iKWEekieW,29
7NyrpeQGQ497B85cihndUutZst7qMybLecKTeu1cvEDx,28
8bjREzWdYmA42SdnYRE3bqoozEt269FfH19A5G34gHxu,28
EfWUgsgQJJMnezEFsH61MGY9W6Nyqua3CZPMNLGYrioK,28
5xPFNsbvSFUpKFyrDxjFpFxRtqLRx5L2FtW2PPg8xurD,27
H4Rn4y8JrkFb4BL3qZbYh2q78X3jPpKckjcGQmBoxk8m,27
G4K9prK6NorW9RDF5gmPuE3JP69a2VYBP6NdUE1uSSWA,26
48iKk2jdF9g2DFdF5wEFyE3SvYTzQqkhcEidYzYJHWhy,26
LaC7SJ6LZfEhWVyt9aiZ8TvY7hPWiuNuTog6tNra3rt,26
9BL2oUkTPZomckHEjjsCM5dyKDWZGEQB7X33d82nEC1z,26
qLXuMbq5L8tfgHHwRhYw5cQCxiQPwQktNe2Nehw331V,26
HNbUn8bHcgWwV2C7uGBNQZtkuLCRjoC3GA3nRs78supn,26
3HpunBhpvBWuH3jhNCnLuJciCfuSjsQVs2z7oKQZigqA,26
FT19yi13VeL1kahTyzC4uh6FjPBtp7LWo2wCsG3VYtYp,26
3vrgoMdQKgEbzbznbQ2efjBLFQeLwdLctcEC8jhJfx22,25
3X2RCc2vp1MeNvtq3fAXUvm1XSp8vuzHuUVnA7NNcsYp,25
Gia1N641h4Vgm2xGwuswuDHT7rh5bLfDcD7jtpVfR8iL,25
59Q89T36AyRbZf4ThRFzXg7EyXa9ku8iNExXPCrJ2sdJ,25
8uke5LbC86Gr93bVmeGzZoSp8NFYd1XFUMSLqVsPYtCw,25
9HQvGAq8SnzH9ifee2kDUB6SapjKRYSsi1Q7f3BA41y2,25
2ATUXJQBBPrxiUkrpo9avX3kjV2PnFBAD6AYD9jc7gVw,24
8ZpeWfMwUo3RNmdmAieVS9Lw9FYC9xYVfapwxsVNG5cv,24
41gBc98XFHm4JEKr2rvvnSMm34vi2hGTAoMqkQBQi7h4,23
HdFNfL4o7AWXneL4kDSntLANvEe39zvknnQEGhDisYoa,23
6925TkFo52MbqKrK6iKSSSZQfWh54K818NiH7BFdjsCS,23
8XSySbsAXism1J4cCvT4XYtyhXw8tAnASyEbAtUacHHN,23
6Romy6wpRHsDSfJZsxDv9PjzDcnPTRrAJ8SKWhPe4HEp,23
8rWWMgAcmbhHfYZVGFfAWee99vdawNTVQJ3sMai1eBQu,23
3o39R3zQaRz2QVb94Zj6dgRWXUmpSjP2tLeX48GLSoVd,23
HXPnXdLs6chqk16ZMx8WgQmgfru2Lw3yVYewFXJRoWZ8,23
CN2dkSstTQwHE6SDLHf5i8kJ6WRax4rHrFKjDjzaDiBG,23
2rGVyLkJZkHK3f7UBYXkLejAnEqCTgmguDFXxmcHwF15,23
47ZJRamq2rvTVxcFQFs2499ixJcmSXCKgb5FRnifYNsK,23
D5TZ5B174hfPb114jkoKN28QFnVGx2394MuTWrEFeJpT,23
ianCQ8YLAhPhqqJAsLaxcnEwni9aCKNBruH4dMmMHq3,22
8nCnZwuEpZvpVWkpaBhmesv8gHFuD55sswYZcTkKB7eE,22
5pftdSXKXUmShnjRQDzco4c7kgK8WaCgPqXVvXiHezxG,22
HDx4nee1ibuhH16jDKu53sdWbhauNKAVnANd4xghr6Wt,22
78Zi8rGcQqkSDWHrzDF3o8WpHFTQPfFB8tSQPatcQHHK,22
EywxcEZq5T9ipBjzj9bETH5zKGrgGpLLnjfSZPTtmNeZ,22
3ajSthXsYQVpytdtR6McZ7vqCGmCGVzAqLdfhyDJFwhb,22
8HSagJbi899BpisJV5kqzu6yQ2XXxQLyASygt3bd1EwU,21
ApX9s67WRzJvfeAq5wxLhpNgu4u9EkQ4j6PEaDQQRaJb,21
GPp2XxsD7ZR347Xvav4r2xrTBDVJRLsHMTsTfvKyfKrL,21
89W8jDXhD9W6esVsWQY8WgxRuSTZMsK54Q8vRzXDteGR,21
3KYN6CYnxHjbaq76riPrZqGsfd9M96hpGUwWc5bgZdLm,21
2N8Bw5TKPUQ9ebvaVkPsQ8ijfjh4EiLJEjMqRLVRi9VS,21
6XmTjMKTuH7x67YJHB3soDqWskpbRrqWf6J67ELiQbC6,21
F1eYWJADtcQoaMXaSWpLQkGMueG3dGvBMEtoCKUkV3VY,21
AbzvywHEc5ZWocZmA9zoo6B9DNn9aHb3NVdkJayCy857,21
DGYNTQR3ued7HhJm5kJ531xPpcxqUcbVxtzQwnZdVfNy,21
145PHp6pxfCSjPoQEnQksjcMPRzJ4dagbwJrH5LkiwZr,21
7QVkB53inJs9czeLQE8stnConyNFXUEHwafMBQM6evSN,21
E1CWDXQbfkMzgQQmc1MTcWSc49nyo9E1dmeEN8efKXfW,21
95B3DyQpBYwHdo2YopUS8rnA84ryBTyppitL3QAkCfdh,21
j27JsxhzTsGg2rH7xjdFFYSS8rzmuHENMv22BfUaawE,21
ANW3RKPaPRs81KZvn9n4WeZTZ3H5TavvFd6ZV3HQyaxE,21
Ddca1hjpdPWhhNg3XsC1uaMRYJL63hVtpDT5FoCsNyGL,21
HpQiSrX4jT2Frkvxqp9kjKr63HbBNLRzkjS4zp8Fz19x,20
8mBbKqqv8tuMRerCR3bCe9qCNbGHf9dXJSmZyuzkhL2T,20
5d5kAwdEY2DL5MRMkxbha13i2FGFKnh9DXCjSfFLCM5k,20
GB3e9ZsCNZpNLncgqz6a3wry4wAQY62y7UqhN2wCd1jh,20
CcJjfmfYpFykSb2BZxKA3YQSXvbnYyscxX7bhu7NXXyY,20
BudvWR3t95CvUCUEuEjJCmeNoFrrXZjBGLXMXYhw2zPY,20
HN849srD3Mzd5ujueQmnFVQnUQtBRnTwdinQSYy4CnF6,20
8fbQaixKnFEnKTQJF3ErCdkSYrKrRpV1sKLaokoFnHjK,20
4K4oyBPx2bGxLvbMg9oLnB1VRHuH9h9QnZr4mLhrcTnW,20
4gzh4FV7DWiYiuxRUcmYxbq6me2PcfXwo9A8FQ4V7TrM,20
CCTbp3FVa4hHza9SrLZUX1DGc4FNywx44nBFYzzg4anY,20
A66SyemsG8u21nhn3T1RN4W1exRfP8hcs7gKWMnscqEX,20
CmeTkEp5CwUw5HXLnf5G8WXwW2By5XptFYpzVdV8FKY8,20
DXG5ysZbewbYVM5F1D4ettE7VqrCq2vVbGGdSwezc1Tj,20
1SGw2hSpvt1yMKAMBzV2j29zrVsQD5j6fY2YqmwTYNK,20
38Zanuv4GNPLnRt8t7fd2d6z3QMFBJkfmthRh9UwXXcq,20
F9ixJg9DzR2s2pbxUtVucfN1jy3vn4MwDkUyoZnE584u,20
D8KL2L7kYEwuiqFaHXZt1F5BxVuVZLHPdXPwFatTVop3,20
D11cYzNaBtM7qse8GKfepufDCXog8ScAqEdhpaKnX6Xz,20
2Rp3vJFmBvCKwoVJqA5wHFeaqPBDc2ombANGnoATEnmN,20
2j8Dcw2pwDrCQgcgeYWQFXDg3tj9mdQYSXvPH63bgeeH,20
A4RusxdKUReZDPnhHKcdrdwFb5JibkR3F2uSCdiegPox,20
BhFnniSa1x5M18HvQgXh3n4GYop9gD6bngqiiQ3WwSfL,20
9qnBzGK9P2XeNMf7Tj3FeSXi5ZNCKBFaGjyAx75nTH7q,20
C9pWtrAtzZyKQPoM2726TrKCGL4Cd5V7YCg5HWemc8Nb,20
3qmGPv4rodtvUYmovfbzuDwzRK7a5W2hW8SKKRhfhYSy,20
9UFvr9e5NdaJKxzgmhTCHgXbPocb1gJr964k5y3gCym4,20
6RscwM1tgrK6M3o1Apacr49upaTQLZ7biG9Be3D1gzda,20
69YAezQXyqvfAfYcgSEtiTCgQe9K7NtomkSZumBcDGLq,20
4YrrfALqoEZtpk1zsdeVn3GPiFsQCU6hmFzSijPJndD3,20
HuwD9S5xXDrw45yJEkY1UG6syoGHJmkvTAZS996VZD5Z,20
EqoY9rjYudHQPpGuvcZJnFruVUz2ym7J1VkodXaa5RPE,20
3krfuodK67PNMsgvtUyp5Uw8YjwBy1ryUUrVjuCZiyxu,20
HMrusEUoyXdSpXESHNbWkEJQpi4rjzNaHrCgfaoVu7Z2,20
7xQZNhBdexVR5u8St5SfQs7ShcizmWxgJc2WAYNUVvzB,20
5HNtipZjTpnuEcZQD4eqmhT2CLiJNU5QbiqtC8tEs7r1,20
8jf2oh46XVfatsquSLbkEwNNvL6W9w7Fqu2L6cefRrHP,20
AzswGrvZjn3NzziUhJuTY2k4a3mgVCGn1NhzkMVqJDYR,20
91bVs3GfJ9gnpwJyxTerNn8DE5EubuwVX2XXKgcgknmi,20
DU4EJnA2z5HbnW8CzAuad9mVoe3cGycjU2HgAksTWVPp,20
DqwvFDiw4Tr2qDDF89VF1o8ENkKfsXEC6HLNTLDHErLP,20
9jjwAR4u3r9wvMygG9yzBfVkfVK2CiWCMLjeCQrRwFiD,20
DEjwYK1NG93MwYUzrQ8f9tVwRWNwFL62CJRAWhHmghC1,20
6qGtknBMUoNq1Pquv3krvky9mLSK5u5fpw8PnCraMcLZ,20
DaZiWK38MPVKhYFf4EvgofjFZ4h6JQtUd9eWuActAF7p,20
6mzfg88qd6KymZSFDPHKd7z9bpdRsttq28WmCiaHFgyt,20
5oZUe7iZrQavUd4JMnJSLhJ1dkUyPvuXdXicujkyHeQv,20
UbSsCtkfxjqr9aTTvNH1VLec11hvfS6MQreMgCoTMum,20
4qiG5Mtun7LoVKfFXtVgTrAC8uEnNYjKgy7bG93pVWeQ,20
Eq76oqw2ihTA32dFU5NinHMUWHdAYwd2UXpuSVpJKddJ,20
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,20
8whSSkgyhK3DeQsJYm7wfYwdzQDbdcXuXbwJhFCsCsPK,20
DfrZdkZhhJknDEkTiZZD9zMwRPX9CR2CLTNL8D6fMDEH,20
HjzfeteoYfwReMFFZfhEzyCHVzk77Fw9HStHUZEQnofD,20
4UobmC4qay5sXM7g3qzeAo6jDsRD2HFtRqR7v4aoU28W,20
ETqQPeFy9jF3TyFva294hT3X56kRweAchP3ZQkKrv1w7,20
E7FfqivuZiNqP61WE4DhARNyR4RzwgezeWpu3DJcyEmj,20
ATXP7eZHuj8jfPyb5uUnyYu2d36bYW3NodwjVB2B94Cd,20
HD8yVzkYbRVvA7PuWo3rzgM91rumhmRLjZr8GzfGt7TQ,20
6Xk8d5MFs3n2QcjUxmSPvq82pTtzTdmDkNpwHJQGHqJT,19
6iFTbc9XeM4oGgXvf2P3U43sLGdT3tc3VmA4TT3LDo55,18
GbLiCoZmqh3HqeLp4EjBQcpbYycbL88c619FuADN8DAY,17
J6fk8ozwmTh79xrFJnEhjA24g2wvd66ydRS5Q4CRdcpi,17
2H1D4jjVMhTvQ17jqcHX6Eh6RbTrKWj3rk6Ua4vMTz6G,17
Hnjo8aziQ3MdZNBJtJBvM6FC4uUzN3wdwXXyQ9k6MJNq,16
HQB7oyWHNwfq1RsT9L2w2gBccNXw514BAwXXiaoZm4Nv,16
GCNi25P1Ywvfx5JpyxFVV68sRkio7LEhFgY85ZqveKR3,16
8agfUAvExwaTSFWSkuxXvrBNrweQ2mgzUazcK9ALfFUh,15
J8RsTYVFsm2EDtV8N4Wke4WUvxxwD4ddzbMUbyhbWxKg,15
Bnf97CQ785xnSxHsSWypXR7iUZaBQGmm9PzxSDGQam3z,15
HG514VNgi9VhMt1s1yNDs2WPkShK7nEpQcGv8Fnkd8wK,15
BeSnKiVwx9CYj8DrGjxHCjVnv8yh9oytLNUdGv93aBQb,14
4mziWeGvUAwStpQrLxD2BQt3ry5ZA3TL19kTKS3yP3bJ,14
4WU8HfwoHpjFdNehAYbYqPvjfeyWYwd6LuegVjkApiBe,14
4B9zxGdZCcFAiR27xy3ksEquKW2caawyp1rcRrSnCrs3,14
6zGfYoErdepGvGS1geu1sZUD3Gwms2CcjVS3Xu8aBfH5,14
357vrhR4gMz3zEUiXZR5gZakN7KiSmjcnyucZ35QgM8r,14
5Aa8vmHmCB9A9hRDNL7DUwffKpC7viafopPjCcYUDsdR,14
BMkGYBgwQZJMyuHcKkDDB1cn4ZAyTjWxgphY6DNKNfdm,14
J5nfwBf4sMJfWHASGUW7YNdCe59UL9x2AJ7s3a4QoPVG,13
FhdCWnmnQhvykPfqBYhMC7hAevdbsAfszh8fJVfFbnvi,13
2DEKkUyiLJsf9HSynAHPph8L6GRFkhLK2FwtcCXmDnSy,13
5BzDWc6MVWx2QxS3tSFLspdEHJLUYjogBByBUrZzcwU6,13
3y6QvyZaAy345qF9uqDX5bHRrbp5jNhtioMvCtEdEMnu,13
31p6aD438PCPaSofbtRCPZR2AegjE1AX8ePHUunaTunE,13
5g7PwMx2mjRJTBek78FYBfUZLRZ7cZYcuHtsMiQJCMB9,13
9RP3uwHsuQfU3vb4mmgYxCbCwuRtAzNN9Wy12DKR3W5M,13
71emMm3bt137M5KjLqEf6cS9BK9ZJB6MMbz2ZutsHiWB,12
4eg3MW2HpGPaNk6dHj8RZ2dZhzYC4NxpRRaetFsePHa4,12
8XW5X7k4bU1fZzCVGPVnyVRv6iqwXqG284DnBpszAiuM,12
DHZnzDYatVKxYhL7riFYVAoHpf9RDFoHHTb2a5X9Hn87,12
GhoydCYQs5H8FznoXVukKC8K8A66aSXhn1WCWtBkRLGY,12
9fzJeAZGnHPVpWEjrssnzx1Qf1QJeKrRGF6f4jzWM7CD,12
8wibY5oD5EmxS14ZCPTo9q8ztF7SGbLJS6ifSwbLwW82,12
8mzvemcGYmVeSBLyKEjVoN98BLswkqSCMqdQvgTvFACG,12
CHPqPr4AHKgphYWw63AbAbM6Kp7M5py6Uq8ZvU7czsR6,12
4nSfi9ojv8p4iiBwBC99gtVf77KchcfhFJg3CXYb4Jki,12
GuywCBr7uFS16ghFvr7kHhW6JZ99fVoxtZ8QkV68jKcp,11
2dWN642HUDWb6eSY47CzVcgVaXPjuBQ4o575RQHDGNUf,11
Cm4LgALKDQSDL1n711TRJD52eJuUKmqNrGcQKm5Ey9fF,11
2fQHb4KQn5uxq6vohz16cEUH7VJ8UMPtLNhVBWUAYsy5,11
4eFnesqWFWAHtXbXMSJgYkCv6VX2xfDfXSHn8QrMfZv7,11
